Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
931,Luca Jaquez,ch SUI,DF,Stuttgart,de Bundesliga,22.0,2003,2,2,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,9,0,0.00,0.02,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,151,167,90.4,2849,871,0,0.0,0.0,0.0,1,13,0,0,9,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,167,161,6,5,0,0,0,1,0,0,0,0,151,0,0,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,1,0.52,1,0,0,0,0,0,0,0.00,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,4,4,2,2,0,4,50.0,2,2,1,1,2,6,9,0,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,185,15,62,124,1,0,185,0,0,,0,,113,584,314,2,1,0,0,0,144,0,1139,ch SUI,DF,de Bundesliga,22-119,2003,2,176,88,39.1,2.0,2,88,2,0,,0,1.50,3,3,0,0.00,-0.33,3.4,1.3,+2.1,+1.08,931,ch SUI,DF,de Bundesliga,22-119,2003,2.0,1,0,0,1,1,0,0,2,4,0,0,0,8,6,5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Ardon Jashari,ch SUI,MF,Milan,it Serie A,23.0,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.09,932,ch SUI,MF,it Serie A,23-061,2002,0.2,0,1,0,0.0,5.63,0.00,0.00,,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0,932,ch SUI,MF,it Serie A,23-061,2002,0.2,19,20,95.0,333,78,0,0.0,0.0,0.0,0,3,0,0,1,932,ch SUI,MF,it Serie A,23-061,2002,0.2,20,17,3,3,0,1,0,0,0,0,0,0,19,0,1,932,ch SUI,MF,it Serie A,23-061,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,932,ch SUI,MF,it Serie A,23-061,2002,0.2,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,932,ch SUI,MF,it Serie A,23-061,2002,0.2,23,0,4,17,2,0,23,0,0,,0,,16,74,26,0,0,0,0,0,15,1,1140,ch SUI,MF,it Serie A,23-061,2002,1,16,16,3.6,0.2,0,,0,1,16,0,0.00,0,0,0,0.00,-1.24,0.6,0.0,+0.6,+3.00,932,ch SUI,MF,it Serie A,23-061,2002,0.2,0,0,0,2,3,0,0,0,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,21.0,2003,7,7,621,6.9,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,6,47,11,0.14,0.13,933,es ESP,MF,es La Liga,21-321,2003,6.9,1,10,3,30.0,1.45,0.43,0.10,0.33,23.4,0,0,0,0.5,0.5,0.05,+0.5,+0.5,933,es ESP,MF,es La Liga,21-321,2003,6.9,279,345,80.9,4743,1349,0,0.4,0.7,-0.4,6,41,9,0,47,933,es ESP,MF,es La Liga,21-321,2003,6.9,345,329,15,12,1,2,14,0,3,2,0,0,279,1,5,933,es ESP,MF,es La Liga,21-321,2003,6.9,17,2.47,15,0,1,0,0,1,1,0.15,933,es ESP,MF,es La Liga,21-321,2003,6.9,12,9,3,8,1,22,40.9,13,5,0,5,11,23,5,2,933,es ESP,MF,es La Liga,21-321,2003,6.9,408,8,59,260,95,6,408,6,2,33.3,4,66.7,190,937,476,6,11,1,7,5,254,11,1142,es ESP,MF,es La Liga,21-321,2003,7,621,89,98.6,6.9,7,89,7,0,,0,1.43,7,7,0,0.00,+10.00,9.7,4.5,+5.2,+0.76,933,es ESP,MF,es La Liga,21-321,2003,6.9,0,0,0,6,3,0,14,11,9,0,0,0,45,6,6,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Finn Jeltsch,de GER,DF,Stuttgart,de Bundesliga,19.0,2006,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,13,0,0.00,0.02,934,de GER,DF,de Bundesliga,19-074,2006,3.0,0,1,0,0.0,0.33,0.00,0.00,,11.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,934,de GER,DF,de Bundesliga,19-074,2006,3.0,174,193,90.2,3053,810,0,0.0,0.0,0.0,0,8,0,0,13,934,de GER,DF,de Bundesliga,19-074,2006,3.0,193,189,4,3,0,2,0,1,0,0,0,0,174,0,1,934,de GER,DF,de Bundesliga,19-074,2006,3.0,1,0.33,1,0,0,0,0,0,0,0.00,934,de GER,DF,de Bundesliga,19-074,2006,3.0,6,3,5,1,0,5,60.0,2,3,3,0,3,9,13,1,934,de GER,DF,de Bundesliga,19-074,2006,3.0,221,21,83,129,9,2,221,0,0,,0,,140,705,335,3,1,0,1,0,161,0,1143,de GER,DF,de Bundesliga,19-074,2006,3,270,90,60.0,3.0,3,90,3,0,,1,2.00,4,3,+1,+0.33,+0.33,3.4,4.3,-1.0,-0.32,934,de GER,DF,de Bundesliga,19-074,2006,3.0,0,0,0,1,3,2,0,3,3,0,1,0,12,4,5,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Castrop Jens,kr KOR,"MF,FW",Gladbach,de Bundesliga,22.0,2003,4,2,184,2.0,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,4,11,10,0.49,0.33,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,1,3,2,66.7,1.47,0.98,0.33,0.50,10.3,0,0,0,0.4,0.4,0.13,+0.6,+0.6,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,45,59,76.3,783,299,0,0.3,0.1,-0.3,3,3,2,0,11,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,59,56,3,0,0,0,2,3,0,0,0,0,45,0,3,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,5,2.43,5,0,0,0,0,0,1,0.49,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,12,6,7,5,0,8,75.0,2,4,0,4,0,12,1,0,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,95,2,20,47,29,8,95,4,1,25.0,3,75.0,45,249,140,4,5,1,10,4,56,10,1144,kr KOR,"MF,FW",de Bundesliga,22-062,2003,4,184,46,40.9,2.0,2,81,2,2,11,1,0.50,4,8,-4,-1.96,-0.94,2.3,4.5,-2.2,-1.05,935,kr KOR,"MF,FW",de Bundesliga,22-062,2003,2.0,0,0,0,8,3,1,2,0,6,0,0,0,12,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,29.0,1996,3,2,153,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,1,11,2,0.59,0.24,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,1,2,1,50.0,1.18,0.59,0.50,1.00,19.0,0,0,0,0.2,0.2,0.11,+0.8,+0.8,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,45,61,73.8,945,402,0,0.2,0.1,-0.2,3,10,2,0,11,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,61,51,10,2,1,0,7,3,5,4,0,0,45,0,0,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,5,2.94,3,1,0,1,0,0,1,0.59,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,7,5,0,5,2,5,40.0,3,2,0,2,1,8,6,0,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,84,5,21,42,22,5,84,2,1,50.0,1,50.0,30,77,52,1,0,1,3,1,40,2,1145,dk DEN,MF,eng Premier League,29-271,1996,3,153,51,28.3,1.7,2,71,2,1,11,2,1.75,2,4,-2,-1.18,-1.18,1.2,2.9,-1.7,-1.02,936,dk DEN,MF,eng Premier League,29-271,1996,1.7,0,0,0,0,1,1,7,1,5,0,0,0,5,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Oliver Jensen,dk DEN,MF,Parma,it Serie A,23.0,2002,4,3,289,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,10,12,0.00,0.05,937,dk DEN,MF,it Serie A,23-203,2002,3.2,0,1,0,0.0,0.31,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1,937,dk DEN,MF,it Serie A,23-203,2002,3.2,66,85,77.6,1005,199,0,0.1,0.1,-0.1,2,5,2,0,10,937,dk DEN,MF,it Serie A,23-203,2002,3.2,85,85,0,0,0,0,1,0,0,0,0,0,66,0,0,937,dk DEN,MF,it Serie A,23-203,2002,3.2,4,1.25,4,0,0,0,0,0,0,0.00,937,dk DEN,MF,it Serie A,23-203,2002,3.2,5,2,1,4,0,5,60.0,2,5,0,5,1,6,3,0,937,dk DEN,MF,it Serie A,23-203,2002,3.2,117,4,18,58,43,2,117,3,1,33.3,2,66.7,59,332,144,4,6,0,5,5,71,12,1146,dk DEN,MF,it Serie A,23-203,2002,4,289,72,80.3,3.2,3,85,3,1,33,0,0.50,0,5,-5,-1.56,-2.82,3.0,3.0,0.0,-0.01,937,dk DEN,MF,it Serie A,23-203,2002,3.2,1,0,0,6,2,0,1,1,2,0,0,0,9,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,26.0,1999,5,5,450,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,6,0,0.00,0.04,938,de GER,DF,de Bundesliga,26-152,1999,5.0,0,1,0,0.0,0.20,0.00,0.00,,8.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2,938,de GER,DF,de Bundesliga,26-152,1999,5.0,206,229,90.0,3683,1301,0,0.0,0.1,0.0,1,10,1,1,6,938,de GER,DF,de Bundesliga,26-152,1999,5.0,229,222,7,5,0,0,1,0,0,0,0,0,206,0,1,938,de GER,DF,de Bundesliga,26-152,1999,5.0,7,1.40,6,0,0,1,0,0,0,0.00,938,de GER,DF,de Bundesliga,26-152,1999,5.0,8,7,7,1,0,7,57.1,3,3,1,2,4,12,39,1,938,de GER,DF,de Bundesliga,26-152,1999,5.0,285,50,160,121,4,1,285,0,0,,0,,173,612,329,0,1,0,1,0,187,0,1147,de GER,DF,de Bundesliga,26-152,1999,5,450,90,100.0,5.0,5,90,5,0,,0,1.00,7,7,0,0.00,,8.3,7.6,+0.7,+0.14,938,de GER,DF,de Bundesliga,26-152,1999,5.0,1,0,0,6,1,0,1,4,7,0,0,0,15,12,3,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Igor Jesus,br BRA,"FW,MF",Nott'ham Forest,eng Premier League,24.0,2001,5,0,74,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,1,4,0.00,0.38,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,0,4,2,50.0,4.86,2.43,0.00,0.00,12.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,18,21,85.7,220,11,0,0.0,0.0,0.0,1,0,1,0,1,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,21,20,1,0,0,0,0,0,0,0,0,0,18,0,1,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,3,3.38,1,0,0,2,0,0,0,0.00,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,31,2,4,6,21,5,31,0,0,,0,,7,30,8,0,0,1,0,1,19,4,1148,br BRA,"FW,MF",eng Premier League,24-216,2001,5,74,15,13.7,0.8,0,,0,5,15,0,1.00,0,3,-3,-3.65,-3.26,1.9,2.5,-0.7,-0.76,939,br BRA,"FW,MF",eng Premier League,24-216,2001,0.8,0,0,0,2,0,0,0,0,1,0,0,0,4,5,4,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Juan Jesus,br BRA,DF,Napoli,it Serie A,34.0,1991,4,3,257,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,7,20,0,0.00,0.02,940,br BRA,DF,it Serie A,34-111,1991,2.9,0,1,0,0.0,0.35,0.00,0.00,,6.3,0,0,0,0.0,0.0,0.03,0.0,0.0,940,br BRA,DF,it Serie A,34-111,1991,2.9,243,258,94.2,4436,1397,0,0.0,0.1,0.0,1,18,1,0,20,940,br BRA,DF,it Serie A,34-111,1991,2.9,258,253,4,4,0,1,0,0,0,0,0,0,243,1,5,940,br BRA,DF,it Serie A,34-111,1991,2.9,5,1.74,4,0,0,1,0,0,0,0.00,940,br BRA,DF,it Serie A,34-111,1991,2.9,8,5,4,4,0,7,85.7,1,3,0,3,3,11,6,0,940,br BRA,DF,it Serie A,34-111,1991,2.9,278,12,84,182,12,2,278,0,0,,0,,198,987,566,7,3,0,0,0,233,0,1149,br BRA,DF,it Serie A,34-111,1991,4,257,64,57.1,2.9,3,83,3,1,9,1,2.25,4,3,+1,+0.35,-1.52,4.1,2.5,+1.6,+0.57,940,br BRA,DF,it Serie A,34-111,1991,2.9,1,0,0,6,0,0,0,3,5,0,0,0,8,2,7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Álex Jiménez,es ESP,DF,Bournemouth,eng Premier League,20.0,2005,3,2,121,1.3,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,5,7,3,0.00,0.10,941,es ESP,DF,eng Premier League,20-144,2005,1.3,0,2,0,0.0,1.49,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,941,es ESP,DF,eng Premier League,20-144,2005,1.3,67,84,79.8,966,284,0,0.1,0.0,-0.1,1,2,0,0,7,941,es ESP,DF,eng Premier League,20-144,2005,1.3,84,66,17,3,0,0,3,14,0,0,0,0,67,1,4,941,es ESP,DF,eng Premier League,20-144,2005,1.3,3,2.23,3,0,0,0,0,0,0,0.00,941,es ESP,DF,eng Premier League,20-144,2005,1.3,7,5,4,2,1,1,100.0,0,2,1,1,0,7,1,0,941,es ESP,DF,eng Premier League,20-144,2005,1.3,99,4,21,54,25,3,99,1,1,100.0,0,0.0,52,246,137,5,4,1,2,2,56,3,1150,es ESP,DF,eng Premier League,20-144,2005,3,121,40,22.4,1.3,2,59,2,1,3,0,1.67,1,2,-1,-0.74,-1.17,0.7,1.8,-1.1,-0.84,941,es ESP,DF,eng Premier League,20-144,2005,1.3,3,0,0,4,1,0,3,0,5,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Álex Jiménez,es ESP,DF,Milan,it Serie A,20.0,2005,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,2,0,0.00,0.49,942,es ESP,DF,it Serie A,20-144,2005,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,942,es ESP,DF,it Serie A,20-144,2005,0.5,23,25,92.0,304,44,0,0.2,0.1,-0.2,2,2,1,0,2,942,es ESP,DF,it Serie A,20-144,2005,0.5,25,21,4,0,0,0,1,4,0,0,0,0,23,0,0,942,es ESP,DF,it Serie A,20-144,2005,0.5,4,8.00,3,0,1,0,0,0,0,0.00,942,es ESP,DF,it Serie A,20-144,2005,0.5,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,942,es ESP,DF,it Serie A,20-144,2005,0.5,31,0,5,15,12,2,31,8,4,50.0,3,37.5,21,201,135,2,1,1,0,0,20,0,1151,es ESP,DF,it Serie A,20-144,2005,1,45,45,10.0,0.5,0,,0,1,45,0,0.00,0,1,-1,-2.00,-3.56,1.1,0.1,+1.0,+1.94,942,es ESP,DF,it Serie A,20-144,2005,0.5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,34.0,1991,6,2,142,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,3,5,0.63,0.28,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,1,5,1,20.0,3.17,0.63,0.20,1.00,12.6,1,0,0,0.5,0.5,0.09,+0.5,+0.5,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,19,29,65.5,234,30,0,0.0,0.0,0.0,0,1,0,0,3,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,29,29,0,0,0,0,0,0,0,0,0,0,19,0,3,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,1,0.62,1,0,0,0,0,0,0,0.00,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,3,2,0,1,2,1,0.0,1,1,0,1,0,3,3,0,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,53,4,6,22,25,6,53,2,0,0.0,2,100.0,27,67,17,0,0,0,7,3,38,5,1153,mx MEX,FW,eng Premier League,34-147,1991,6,142,24,26.3,1.6,2,39,2,4,16,0,1.33,3,1,+2,+1.27,+1.95,1.9,1.4,+0.6,+0.34,943,mx MEX,FW,eng Premier League,34-147,1991,1.6,0,0,0,7,0,2,0,0,2,0,0,0,1,4,13,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,João Pedro,br BRA,"FW,MF",Chelsea,eng Premier League,24.0,2001,6,6,512,5.7,2,3,5,2,0,0,0,0,1.5,1.5,1.4,2.9,13,19,37,0.88,0.52,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,2,9,3,33.3,1.58,0.53,0.22,0.67,14.3,0,0,0,1.5,1.5,0.17,+0.5,+0.5,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,131,156,84.0,1667,287,3,1.4,0.2,+1.6,7,8,6,0,19,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,156,145,10,0,2,1,5,0,0,0,0,0,131,1,3,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,14,2.47,12,0,0,2,0,0,3,0.53,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,5,4,2,3,0,1,100.0,0,3,2,1,3,8,6,0,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,230,5,16,117,101,20,230,22,4,18.2,14,63.6,132,693,343,13,7,3,15,12,174,37,1155,br BRA,"FW,MF",eng Premier League,24-003,2001,6,512,85,94.8,5.7,6,85,6,0,,0,1.33,10,7,+3,+0.53,+0.53,9.3,7.0,+2.4,+0.42,944,br BRA,"FW,MF",eng Premier League,24-003,2001,5.7,0,0,0,5,13,2,5,3,4,0,0,0,12,13,13,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Joelinton,br BRA,MF,Newcastle Utd,eng Premier League,29.0,1996,4,4,314,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,6,14,9,0.00,0.24,945,br BRA,MF,eng Premier League,29-046,1996,3.5,0,2,0,0.0,0.57,0.00,0.00,,14.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,945,br BRA,MF,eng Premier League,29-046,1996,3.5,75,99,75.8,983,330,0,0.7,0.3,-0.7,2,12,0,0,14,945,br BRA,MF,eng Premier League,29-046,1996,3.5,99,94,4,4,1,0,1,0,0,0,0,0,75,1,2,945,br BRA,MF,eng Premier League,29-046,1996,3.5,6,1.74,5,0,0,0,0,1,0,0.00,945,br BRA,MF,eng Premier League,29-046,1996,3.5,5,1,0,3,2,4,50.0,2,3,1,2,4,9,3,0,945,br BRA,MF,eng Premier League,29-046,1996,3.5,127,6,27,71,31,10,127,2,0,0.0,1,50.0,63,319,176,6,1,1,2,4,84,9,1156,br BRA,MF,eng Premier League,29-046,1996,4,314,79,58.1,3.5,4,79,4,0,,1,1.00,3,3,0,0.00,+0.40,4.1,2.6,+1.4,+0.41,945,br BRA,MF,eng Premier League,29-046,1996,3.5,2,0,0,5,3,0,1,4,1,0,0,0,16,8,8,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Jofre,es ESP,"FW,MF",Espanyol,es La Liga,24.0,2001,3,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,0,5,0.00,0.06,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,11,17,64.7,139,62,0,0.1,0.1,-0.1,1,0,1,1,0,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,17,17,0,0,0,0,4,0,0,0,0,0,11,0,1,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,1,1.01,1,0,0,0,0,0,0,0.00,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,2,2,1,1,0,1,0.0,1,0,0,0,1,3,2,0,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,26,3,8,9,10,1,26,3,1,33.3,2,66.7,19,216,164,3,1,1,1,1,17,5,1157,es ESP,"FW,MF",es La Liga,24-104,2001,3,87,29,13.8,1.0,1,45,1,2,21,4,1.33,0,1,-1,-1.03,-1.37,0.4,1.0,-0.6,-0.63,946,es ESP,"FW,MF",es La Liga,24-104,2001,1.0,0,0,0,3,3,0,4,1,2,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,25.0,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.45,947,is ISL,MF,it Serie A,25-001,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,947,is ISL,MF,it Serie A,25-001,2000,0.1,5,6,83.3,78,34,0,0.1,0.0,-0.1,1,0,0,0,0,947,is ISL,MF,it Serie A,25-001,2000,0.1,6,5,1,0,0,0,1,0,1,0,1,0,5,0,0,947,is ISL,MF,it Serie A,25-001,2000,0.1,1,9.00,0,1,0,0,0,0,0,0.00,947,is ISL,MF,it Serie A,25-001,2000,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,947,is ISL,MF,it Serie A,25-001,2000,0.1,6,0,0,4,2,0,6,0,0,,0,,4,12,1,0,0,0,0,0,5,0,1158,is ISL,MF,it Serie A,25-001,2000,1,9,9,2.0,0.1,0,,0,1,9,4,0.00,0,1,-1,-10.00,-8.98,0.1,0.4,-0.3,-3.12,947,is ISL,MF,it Serie A,25-001,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
